"2015-10-06","3.10","Treadmill","MX20v3 Minimus"
"2015-10-05","4.50","Paved Road","MX20v3 Minimus"
"2015-10-04","3.10","Treadmill","MX20v3 Minimus"
"2015-10-03","4.00","Treadmill","MX20v3 Minimus"
"2015-10-02","4.00","Paved Road","MX20v3 Minimus"
"2015-10-01","4.00","Treadmill","MX20v3 Minimus"
"2015-09-29","3.10","Treadmill","MX20v3 Minimus"
"2015-09-27","4.50","Paved Road","MX20v3 Minimus"
"2015-09-26","3.10","Treadmill","MX20v3 Minimus"
"2015-09-19","8.00","Paved Road","MX20v3 Minimus"
"2015-09-15","7.50","Paved Road","MX20v3 Minimus"
"2015-09-13","8.50","Paved Road","MX20v3 Minimus"
"2015-09-12","8.50","Paved Road","MX20v3 Minimus"
"2015-09-09","6.00","Paved Road","MX20v3 Minimus"
"2015-09-07","1.50","Paved Road","MX20v3 Minimus"
"2015-09-06","8.50","Paved Road","MX20v3 Minimus"
"2015-09-01","7.00","Paved Road","MX20v3 Minimus"
"2015-08-30","8.50","Paved Road","MX20v3 Minimus"
"2015-08-26","8.50","Paved Road","MX20v3 Minimus"
"2015-08-23","13.10","Mountain Trail","MT110"
"2015-08-22","8.50","Paved Road","MX20v3 Minimus"
"2015-08-20","8.00","Paved Road","MX20v3 Minimus"
"2015-08-17","7.50","Paved Road","MX20v3 Minimus"
"2015-08-15","8.50","Paved Road","MX20v3 Minimus"
"2015-08-14","8.00","Paved Road","MX20v3 Minimus"
"2015-08-12","7.00","Paved Road","MX20v3 Minimus"
"2015-08-09","6.00","Mountain Trail","MT110"
"2015-08-08","8.00","Paved Road","MX20v3 Minimus"
"2015-08-07","2.00","Paved Road","MX20v3 Minimus"
"2015-08-06","4.50","Paved Road","MX20v3 Minimus"
"2015-08-02","17.00","Running Trail","MX20v3 Minimus"
"2015-08-01","6.30","Running Trail","MX20v3 Minimus"
"2015-07-31","11.00","Paved Road","MX20v3 Minimus"
"2015-07-29","4.50","Paved Road","MX20v3 Minimus"
"2015-07-28","8.00","Paved Road","MX20v3 Minimus"
"2015-07-26","15.10","Mountain Trail","MT110"
"2015-07-24","7.20","Paved Road","MX20v3 Minimus"
"2015-07-23","6.00","Paved Road","MX20v3 Minimus"
"2015-07-22","4.10","Paved Road","MX20v3 Minimus"
"2015-07-21","8.00","Paved Road","MX20v3 Minimus"
"2015-07-19","11.20","Mountain Trail","MT110"
"2015-07-18","6.20","Running Trail","MX20v3 Minimus"
"2015-07-17","5.70","Paved Road","MX20v3 Minimus"
"2015-07-16","4.50","Paved Road","MX20v3 Minimus"
"2015-07-15","7.00","Paved Road","MX20v3 Minimus"
"2015-07-14","6.00","Paved Road","MX20v3 Minimus"
"2015-07-12","12.00","Mountain Trail","MT110"
"2015-07-11","10.00","Paved Road","MX20v3 Minimus"
"2015-07-09","7.50","Paved Road","MX20v3 Minimus"
"2015-07-08","3.30","Paved Road","MX20v3 Minimus"
"2015-07-07","7.00","Running Trail","MX20v3 Minimus"
"2015-07-06","2.00","Treadmill","MX20v3 Minimus"
"2015-07-05","10.70","Treadmill","MX20v3 Minimus"
"2015-07-04","6.00","Treadmill","MX20v3 Minimus"
"2015-07-03","6.00","Treadmill","f-Lite 195"
"2015-07-02","11.00","Treadmill","f-Lite 195"
"2015-06-30","3.80","Treadmill","MX20v3 Minimus"
"2015-06-30","6.00","Running Trail","f-Lite 195"
"2015-06-29","4.50","Paved Road","f-Lite 195"
"2015-06-27","11.70","Running Trail","MT110"
"2015-06-26","6.00","Treadmill","f-Lite 195"
"2015-06-25","7.50","Paved Road","f-Lite 195"
"2015-06-24","3.00","Treadmill","f-Lite 195"
"2015-06-23","9.00","Paved Road","f-Lite 195"
"2015-06-22","4.00","Paved Road","f-Lite 195"
"2015-06-21","10.00","Treadmill","MX20v3 Minimus"
"2015-06-20","3.00","Running Trail","Trail Minimus"
"2015-06-19","6.00","Treadmill","f-Lite 195"
"2015-06-17","3.00","Treadmill","f-Lite 195"
"2015-06-16","6.70","Paved Road","f-Lite 195"
"2015-06-13","24.50","Mountain Trail","MT110"
"2015-06-12","5.80","Paved Road","MX20v3 Minimus"
"2015-06-11","2.00","Paved Road","MX20v3 Minimus"
"2015-06-09","8.50","Paved Road","Adizero Boston Boost"
"2015-06-08","3.30","Treadmill","Adizero Boston Boost"
"2015-06-07","10.20","Mountain Trail","MT110"
"2015-06-06","3.10","Treadmill","MX20v3 Minimus"
"2015-06-05","7.20","Running Trail","MX20v3 Minimus"
"2015-06-05","6.00","Paved Road","MX20v3 Minimus"
"2015-06-03","10.00","Paved Road","MX20v3 Minimus"
"2015-06-03","3.10","Treadmill","MX20v3 Minimus"
"2015-06-02","7.10","Paved Road","MX20v3 Minimus"
"2015-05-31","14.00","Running Trail","Trail Minimus"
"2015-05-30","2.60","Mountain Trail","MX20v3 Minimus"
"2015-05-29","6.50","Paved Road","MX20v3 Minimus"
"2015-05-28","4.00","Treadmill","MX20v3 Minimus"
"2015-05-27","12.10","Paved Road","MX20v3 Minimus"
"2015-05-25","7.70","Paved Road","MX20v3 Minimus"
"2015-05-22","7.80","Paved Road","MX20v3 Minimus"
"2015-05-21","9.60","Paved Road","MX20v3 Minimus"
"2015-05-19","8.40","Paved Road","MX20v3 Minimus"
"2015-05-17","13.10","Paved Road","Wave Universe 4"
"2015-05-15","5.20","Paved Road","MX20v3 Minimus"
"2015-05-14","5.00","Treadmill","MX20v3 Minimus"
"2015-05-13","4.00","Treadmill","MX20v3 Minimus"
"2015-05-12","9.00","Paved Road","MX20v3 Minimus"
"2015-05-11","3.10","Treadmill","MX20v3 Minimus"
"2015-05-08","6.00","Paved Road","MX20v3 Minimus"
"2015-05-07","8.00","Paved Road","MX20v3 Minimus"
"2015-05-06","6.20","Treadmill","MX20v3 Minimus"
"2015-05-05","7.00","Paved Road","MX20v3 Minimus"
"2015-05-04","4.10","Treadmill","MX20v3 Minimus"
"2015-05-02","6.00","Running Trail","MX20v3 Minimus"
"2015-05-01","7.50","Paved Road","MX20v3 Minimus"
"2015-04-29","9.00","Mountain Trail","MT110"
"2015-04-25","13.10","Paved Road","Wave Universe 4"
"2015-04-23","3.90","Running Trail","MX20v3 Minimus"
"2015-04-21","5.00","Treadmill","MX20v3 Minimus"
"2015-04-19","9.00","Paved Road","MX20v3 Minimus"
"2015-04-17","10.60","Paved Road","MX20v3 Minimus"
"2015-04-15","5.60","Paved Road","MX20v3 Minimus"
"2015-04-13","6.00","Running Trail","MX20v3 Minimus"
"2015-04-12","4.00","Treadmill","MX20v3 Minimus"
"2015-04-11","7.50","Running Trail","MX20v3 Minimus"
"2015-04-10","8.20","Running Trail","MX20v3 Minimus"
"2015-04-07","4.60","Paved Road","MX20v3 Minimus"
"2015-04-06","4.00","Running Trail","MX20v3 Minimus"
"2015-04-05","8.00","Running Trail","MX20v3 Minimus"
"2015-04-04","8.10","Running Trail","MX20v3 Minimus"
"2015-04-03","3.10","Treadmill","MX20v3 Minimus"
"2015-03-31","4.00","Running Trail","MX20v3 Minimus"
"2015-03-30","6.20","Running Trail","MX20v3 Minimus"
"2015-03-28","12.00","Paved Road","MX20v3 Minimus"
"2015-03-27","4.50","Running Trail","MX20v3 Minimus"
"2015-03-26","4.00","Paved Road","MX20v3 Minimus"
"2015-03-23","6.20","Running Trail","MX20v3 Minimus"
"2015-03-21","10.70","Mountain Trail","MT110"
"2015-03-20","5.00","Running Trail","MX20v3 Minimus"
"2015-03-16","6.20","Running Trail","MX20v3 Minimus"
"2015-03-15","8.40","Running Trail","MX20v3 Minimus"
"2015-03-14","7.00","Running Trail","MX20v3 Minimus"
"2015-03-13","2.20","Paved Road","MX20v3 Minimus"
"2015-03-10","4.00","Running Trail","MX20v3 Minimus"
"2015-03-09","4.00","Paved Road","MX20v3 Minimus"
"2015-03-08","7.00","Paved Road","MX20v3 Minimus"
"2015-03-07","2.40","Paved Road","MX20v3 Minimus"
"2015-03-06","4.00","Paved Road","MX20v3 Minimus"
"2015-03-04","2.20","Treadmill","MX20v3 Minimus"
"2015-02-24","2.00","Treadmill","MX20v3 Minimus"
"2015-02-22","4.30","Treadmill","MX20v3 Minimus"
"2015-02-21","7.00","Treadmill","MX20v3 Minimus"
"2015-02-19","4.00","Paved Road","MX20v3 Minimus"
"2015-02-18","4.20","Paved Road","MX20v3 Minimus"
"2015-02-14","10.00","Paved Road","MX20v3 Minimus"
"2015-02-13","4.00","Running Trail","MX20v3 Minimus"
"2015-02-12","4.00","Running Trail","MX20v3 Minimus"
"2015-02-10","4.00","Running Trail","MX20v3 Minimus"
"2015-02-09","4.00","Running Trail","MX20v3 Minimus"
"2015-02-07","7.00","Paved Road","MX20v3 Minimus"
"2015-02-06","4.00","Running Trail","MX20v3 Minimus"
"2015-02-05","4.00","Running Trail","MX20v3 Minimus"
"2015-02-04","3.10","Treadmill","MX20v3 Minimus"
"2015-02-03","2.00","Treadmill","MX20v3 Minimus"
"2015-01-26","5.00","Running Trail","MX20v3 Minimus"
"2015-01-25","6.00","Running Trail","MX20v3 Minimus"
"2015-01-24","2.00","Treadmill","MX20v3 Minimus"
"2015-01-21","3.00","Treadmill","MX20v3 Minimus"
"2015-01-20","4.50","Treadmill","MX20v3 Minimus"
"2015-01-18","2.00","Treadmill","MX20v3 Minimus"
"2015-01-17","6.00","Treadmill","MX20v3 Minimus"
"2015-01-16","4.00","Treadmill","MX20v3 Minimus"
"2015-01-15","2.50","Treadmill","MX20v3 Minimus"
"2015-01-14","4.50","Treadmill","MX20v3 Minimus"
"2015-01-13","4.00","Treadmill","MX20v3 Minimus"
"2015-01-12","1.00","Treadmill","MX20v3 Minimus"
"2015-01-11","4.50","Treadmill","MX20v3 Minimus"
"2015-01-09","4.00","Treadmill","MX20v3 Minimus"
"2015-01-08","2.00","Treadmill","MX20v3 Minimus"
"2015-01-07","4.00","Treadmill","MX20v3 Minimus"
"2015-01-05","3.10","Treadmill","MX20v3 Minimus"
"2015-01-04","8.00","Treadmill","MX20v3 Minimus"
"2015-01-02","5.50","Treadmill","MX20v3 Minimus"
"2015-01-01","5.20","Treadmill","MX20v3 Minimus"
"2014-12-31","3.00","Treadmill","MX20v3 Minimus"
"2014-12-30","4.10","Treadmill","MX20v3 Minimus"
"2014-12-29","4.00","Treadmill","MX20v3 Minimus"
"2014-12-27","4.00","Treadmill","MX20v3 Minimus"
"2014-12-10","4.00","Running Trail","MX20v3 Minimus"
"2014-12-07","8.50","Running Trail","MX20v3 Minimus"
"2014-11-22","8.40","Running Trail","MX20v3 Minimus"
"2014-11-17","4.00","Treadmill","MX20v3 Minimus"
"2014-11-12","4.00","Treadmill","MX20v3 Minimus"
"2014-11-10","3.10","Treadmill","MX20v3 Minimus"
"2014-11-08","8.40","Running Trail","MX20v3 Minimus"
"2014-11-05","4.00","Running Trail","MX20v3 Minimus"
"2014-11-03","2.10","Treadmill","MX20v3 Minimus"
"2014-11-02","8.40","Running Trail","MX20v3 Minimus"
"2014-10-31","4.00","Running Trail","MX20v3 Minimus"
"2014-10-25","4.60","Mountain Trail","MT110"
"2014-10-23","8.50","Running Trail","MX20v3 Minimus"
"2014-10-22","3.10","Running Trail","MX20v3 Minimus"
"2014-10-19","9.50","Running Trail","MX20v3 Minimus"
"2014-10-17","8.40","Running Trail","MX20v3 Minimus"
"2014-10-16","2.20","Running Trail","MX20v3 Minimus"
"2014-10-15","8.50","Running Trail","MX20v3 Minimus"
"2014-10-13","2.00","Running Trail","MX20v3 Minimus"
"2014-10-11","8.00","Running Trail","MX20v3 Minimus"
"2014-10-08","4.00","Running Trail","MX20v3 Minimus"
"2014-10-07","4.10","Running Trail","MX20v3 Minimus"
"2014-10-05","10.50","Mountain Trail","MT110"
"2014-10-04","8.50","Running Trail","MX20v3 Minimus"
"2014-09-30","3.00","Paved Road","MX20v3 Minimus"
"2014-09-28","12.00","Running Trail","MX20v3 Minimus"
"2014-09-27","8.00","Running Trail","MX20v3 Minimus"
"2014-09-26","5.30","Paved Road","MX20v3 Minimus"
"2014-09-25","6.00","Paved Road","MX20v3 Minimus"
"2014-09-24","5.00","Running Trail","MX20v3 Minimus"
"2014-09-23","7.50","Running Trail","MX20v3 Minimus"
"2014-09-20","8.50","Running Trail","MX20v3 Minimus"
"2014-09-18","8.50","Running Trail","MX20v3 Minimus"
"2014-09-16","7.50","Mountain Trail","MT110"
"2014-09-14","18.50","Mountain Trail","MT110"
"2014-09-13","8.50","Running Trail","MX20v3 Minimus"
"2014-09-09","10.00","Running Trail","MX20v3 Minimus"
"2014-09-07","12.00","Running Trail","MX20v3 Minimus"
"2014-09-06","6.20","Running Trail","MX20v3 Minimus"
"2014-09-04","8.20","Running Trail","MX20v3 Minimus"
"2014-09-02","8.30","Running Trail","MX20v3 Minimus"
"2014-09-01","8.00","Running Trail","MX20v3 Minimus"
"2014-08-30","8.10","Running Trail","MX20v3 Minimus"
"2014-08-29","8.20","Running Trail","MX20v3 Minimus"
"2014-08-27","9.90","Running Trail","MX20v3 Minimus"
"2014-08-26","8.30","Running Trail","MX20v3 Minimus"
"2014-08-24","17.20","Mountain Trail","MT110"
"2014-08-23","6.30","Running Trail","MX20v3 Minimus"
"2014-08-22","8.20","Running Trail","MX20v3 Minimus"
"2014-08-20","8.40","Running Trail","MX20v3 Minimus"
"2014-08-19","8.40","Running Trail","MX20v3 Minimus"
"2014-08-17","26.20","Paved Road","MX20v3 Minimus"
"2014-08-14","8.40","Running Trail","MX20v3 Minimus"
"2014-08-12","8.40","Running Trail","MX20v3 Minimus"
"2014-08-11","11.30","Mountain Trail","MT110"
"2014-08-10","15.00","Running Trail","MX20v3 Minimus"
"2014-08-09","6.00","Running Trail","MX20v3 Minimus"
"2014-08-07","8.50","Running Trail","MX20v3 Minimus"
"2014-08-06","14.00","Mountain Trail","MT110"
"2014-08-04","8.70","Running Trail","Trail Minimus"
"2014-08-03","14.00","Mountain Trail","MT110"
"2014-08-02","12.80","Running Trail","MX20v3 Minimus"
"2014-07-31","7.50","Paved Road","MX20v3 Minimus"
"2014-07-30","4.40","Running Trail","MX20v3 Minimus"
"2014-07-28","14.00","Mountain Trail","MT110"
"2014-07-27","9.00","Running Trail","MX20v3 Minimus"
"2014-07-26","8.00","Running Trail","MX20v3 Minimus"
"2014-07-25","9.00","Paved Road","MX20v3 Minimus"
"2014-07-24","6.00","Running Trail","MX20v3 Minimus"
"2014-07-22","14.00","Mountain Trail","MT110"
"2014-07-20","12.10","Running Trail","MX20v3 Minimus"
"2014-07-19","9.70","Running Trail","MX20v3 Minimus"
"2014-07-18","10.40","Mountain Trail","MT110"
"2014-07-17","6.30","Running Trail","MX20v3 Minimus"
"2014-07-16","8.00","Running Trail","MX20v3 Minimus"
"2014-07-15","10.00","Running Trail","MX20v3 Minimus"
"2014-07-12","11.30","Paved Road","Wave Universe 4"
"2014-07-11","4.00","Running Trail","MX20v3 Minimus"
"2014-07-10","4.00","Paved Road","MX20v3 Minimus"
"2014-07-09","2.00","Running Trail","MX20v3 Minimus"
"2014-07-06","4.00","Mountain Trail","MX20v3 Minimus"
"2014-07-05","4.40","Mountain Trail","MX20v3 Minimus"
"2014-07-03","16.30","Running Trail","MX20v3 Minimus"
"2014-07-01","5.60","Paved Road","Wave Universe 4"
"2014-06-30","19.00","Paved Road","Wave Universe 4"
"2014-06-29","7.30","Paved Road","MX20v3 Minimus"
"2014-06-28","8.00","Paved Road","MX20v3 Minimus"
"2014-06-26","6.50","Paved Road","Wave Universe 4"
"2014-06-25","10.20","Paved Road","MX20v3 Minimus"
"2014-06-24","3.50","Paved Road","Wave Universe 4"
"2014-06-23","4.00","Paved Road","MX20v3 Minimus"
"2014-06-23","11.00","Paved Road","MX20v3 Minimus"
"2014-06-21","8.30","Paved Road","MX20v3 Minimus"
"2014-06-20","4.00","Paved Road","MX20v3 Minimus"
"2014-06-18","12.50","Mountain Trail","MT110"
"2014-06-16","14.00","Paved Road","Wave Universe 4"
"2014-06-15","3.60","Running Trail","Wave Universe 4"
"2014-06-15","1.00","Treadmill","Barefoot"
"2014-06-14","7.40","Paved Road","MX20v3 Minimus"
"2014-06-13","10.20","Mountain Trail","MT110"
"2014-06-12","9.00","Mountain Trail","MT110"
"2014-06-10","5.00","Paved Road","MX20v3 Minimus"
"2014-06-09","12.20","Running Trail","MX20v3 Minimus"
"2014-06-07","6.40","Mountain Trail","MT110"
"2014-06-06","3.00","Running Trail","Wave Universe 4"
"2014-06-05","6.20","Mountain Trail","MT110"
"2014-06-03","8.00","Mountain Trail","MT110"
"2014-06-02","10.00","Running Trail","Wave Universe 4"
"2014-05-31","6.00","Running Trail","Wave Universe 4"
"2014-05-30","3.10","Paved Road","Wave Universe 4"
"2014-05-28","15.00","Mountain Trail","MT110"
"2014-05-24","10.00","Mountain Trail","Wave Universe 4"
"2014-05-23","4.00","Running Trail","Wave Universe 4"
"2014-05-21","3.50","Paved Road","Wave Universe 4"
"2014-05-19","3.10","Running Trail","Wave Universe 4"
"2014-05-18","8.00","Running Trail","MX20v3 Minimus"
"2014-05-17","4.00","Treadmill","Wave Universe 4"
"2014-05-14","3.50","Treadmill","Wave Universe 4"
"2014-05-12","2.50","Treadmill","Barefoot"
"2014-05-11","2.50","Treadmill","Wave Universe 4"
"2014-05-10","5.00","Running Trail","Wave Universe 4"
"2014-05-08","2.50","Paved Road","Wave Universe 4"
"2014-05-07","3.00","Paved Road","Wave Universe 4"
"2014-05-05","4.50","Paved Road","MX20v3 Minimus"
"2014-05-03","5.50","Paved Road","Wave Universe 4"
"2014-05-02","4.50","Paved Road","Wave Universe 4"
"2014-04-25","5.00","Paved Road","Wave Universe 4"
"2014-04-21","5.00","Paved Road","MX20v3 Minimus"
"2014-04-18","4.50","Paved Road","MX20v3 Minimus"
"2014-04-17","5.50","Paved Road","MX20v3 Minimus"
"2014-04-16","5.00","Paved Road","Wave Universe 4"
"2014-04-12","9.00","Running Trail","Wave Universe 4"
"2014-04-10","5.00","Paved Road","Wave Universe 4"
"2014-04-08","5.00","Paved Road","MX20v3 Minimus"
"2014-04-06","8.00","Running Trail","MX20v3 Minimus"
"2014-04-05","7.00","Paved Road","MX20v3 Minimus"
"2014-04-02","2.00","Paved Road","Wave Universe 4"
"2014-03-30","5.00","Paved Road","Wave Universe 4"
"2014-03-29","7.00","Paved Road","Wave Universe 4"
"2014-03-26","3.00","Paved Road","Wave Universe 4"
"2014-03-25","4.00","Running Trail","Wave Universe 4"
"2014-03-23","16.00","Running Trail","Wave Universe 4"
"2014-03-20","5.00","Paved Road","Wave Universe 4"
"2014-03-19","4.00","Paved Road","Wave Universe 4"
"2014-03-14","6.00","Running Trail","Wave Universe 4"
"2014-03-13","5.00","Running Trail","Wave Universe 4"
"2014-03-12","5.00","Running Trail","Wave Universe 4"
"2014-03-09","11.00","Running Trail","Wave Universe 4"
"2014-03-04","8.00","Running Trail","MX20v3 Minimus"
"2014-02-27","8.00","Paved Road","Wave Universe 4"
"2014-02-24","5.00","Running Trail","MX20v3 Minimus"
"2014-02-22","7.00","Running Trail","Wave Universe 4"
"2014-02-19","5.00","Running Trail","Wave Universe 4"
"2014-02-17","6.00","Running Trail","MX20v3 Minimus"
"2014-02-15","4.00","Running Trail","MX20v3 Minimus"
"2014-02-14","5.00","Paved Road","Wave Universe 4"
"2014-02-13","5.00","Running Trail","Wave Universe 4"
"2014-02-12","7.00","Running Trail","MX20v3 Minimus"
"2014-02-08","5.00","Running Trail","MX20v3 Minimus"
"2014-02-03","5.00","Running Trail","MX20v3 Minimus"
"2014-01-29","4.00","Running Trail","Wave Universe 4"
"2014-01-25","4.00","Paved Road","Wave Universe 4"
"2014-01-24","6.00","Running Trail","Wave Universe 4"
"2014-01-22","5.00","Running Trail","Wave Universe 4"
"2014-01-20","5.00","Paved Road","Wave Universe 4"
"2014-01-19","7.00","Running Trail","Wave Universe 4"
"2014-01-18","9.00","Running Trail","Wave Universe 4"
"2014-01-17","6.00","Running Trail","Wave Universe 4"
"2014-01-16","7.00","Running Trail","Wave Universe 4"
"2014-01-13","5.00","Running Trail","Wave Universe 4"
"2014-01-12","5.00","Running Trail","Wave Universe 4"
"2014-01-11","9.00","Running Trail","Wave Universe 4"
"2014-01-08","5.00","Paved Road","Wave Universe 4"
"2014-01-07","5.00","Running Trail","Wave Universe 4"
"2014-01-03","7.00","Running Trail","Wave Universe 4"
"2014-01-02","7.00","Running Trail","Wave Universe 4"
"2013-12-31","7.00","Running Trail","Wave Universe 4"
"2013-12-29","10.00","Running Trail","Wave Universe 4"
"2013-12-28","9.00","Running Trail","Wave Universe 4"
"2013-12-27","5.00","Paved Road","Wave Universe 4"
"2013-12-26","5.00","Running Trail","Wave Universe 4"
"2013-12-25","7.00","Running Trail","Wave Universe 4"
"2013-12-24","7.00","Running Trail","Wave Universe 4"
"2013-12-23","5.00","Running Trail","Wave Universe 4"
"2013-12-22","7.00","Running Trail","Wave Universe 4"
"2013-12-21","7.00","Running Trail","Wave Universe 4"
"2013-12-18","5.00","Running Trail","Wave Universe 4"
"2013-12-17","5.00","Running Trail","Wave Universe 4"
"2013-12-11","4.00","Treadmill","Wave Universe 4"
"2013-12-10","7.00","Treadmill","Wave Universe 4"
"2013-12-09","7.00","Treadmill","Wave Universe 4"
"2013-12-06","8.00","Paved Road","Wave Universe 4"
"2013-12-04","10.00","Paved Road","Wave Universe 4"
"2013-12-03","9.00","Paved Road","Wave Universe 4"
"2013-12-01","9.00","Mountain Trail","MT110"
"2013-11-30","10.00","Mountain Trail","MT110"
"2013-11-28","6.00","Paved Road","Wave Universe 4"
"2013-11-26","5.00","Running Trail","Wave Universe 4"
"2013-11-25","6.00","Treadmill","Wave Universe 4"
"2013-11-24","7.00","Treadmill","Wave Universe 4"
"2013-11-23","7.00","Running Trail","MX20v3 Minimus"
"2013-11-20","7.00","Running Trail","Wave Universe 4"
"2013-11-19","7.00","Running Trail","Wave Universe 4"
"2013-11-18","7.00","Running Trail","Wave Universe 4"
"2013-11-16","12.00","Running Trail","Wave Universe 4"
"2013-11-14","7.00","Running Trail","Wave Universe 4"
"2013-11-13","6.00","Running Trail","Wave Universe 4"
"2013-11-12","7.00","Running Trail","Wave Universe 4"
"2013-11-10","11.00","Running Trail","MX20v3 Minimus"
